Rank,Artist,Title
1,"Bread","Everything I Own"
2,"George Michael","Careless Whisper"
3,"4 Non Blondes","What's Up?"
4,"Bring Me The Horizon","Can You Feel My Heart"
5,"Foreigner","I Want To Know What Love Is"
6,"AC/DC","It's A Long Way To The Top (If You Wanna Rock 'N' Roll)"
7,"AC/DC","Thunderstruck"
8,"Tears For Fears","Everybody Wants To Rule The World"
9,"Queen","Another One Bites The Dust"
10,"The Police","Every Breath You Take"
11,"Bonnie Tyler","Total Eclipse Of The Heart"
12,"The Hollies","The Air That I Breathe"
13,"Redbone","Come And Get Your Love"
14,"Jason Mraz","I'm Yours"
15,"Kenny Rogers","The Gambler"
16,"Journey","Don't Stop Believin'"
17,"Pisse","Fahrradsattel"
18,"R.E.M.","Losing My Religion"
19,"Scorpions","Wind Of Change"
20,"ATB","9 Pm (Till I Come)"
21,"Toto","Africa"
22,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
23,"Chumbawamba","Tubthumping"
24,"Mother Mother","Hayloft"
25,"Eagles","Hotel California"
26,"Evanescence","Bring Me To Life"
27,"Greta Van Fleet","Heat Above"
28,"Rusted Root","Send Me On My Way"
29,"Aerosmith","Dream On"
30,"R.E.M.","Everybody Hurts"
31,"AC/DC","Back In Black"
32,"Richard Marx","Right Here Waiting"
33,"Bon Jovi","Livin' On A Prayer"
34,"Electric Light Orchestra","Mr. Blue Sky"
35,"Kiss","I Was Made For Lovin' You"
36,"Cutting Crew","(I Just) Died In Your Arms"
37,"The Animals","The House Of The Rising Sun"
38,"Europe","The Final Countdown"
39,"Creedence Clearwater Revival","Fortunate Son"
40,"Dire Straits","Sultans Of Swing"
41,"Cyndi Lauper","Girls Just Want To Have Fun"
42,"The Fray","How To Save A Life"
43,"Guns N' Roses","Sweet Child O' Mine"
44,"Technotronic","Pump Up The Jam"
45,"Men At Work","Down Under"
46,"Roxette","It Must Have Been Love"
47,"Blondie","Heart Of Glass"
48,"Aerosmith","I Don't Want To Miss A Thing"
49,"Nickelback","How You Remind Me"
50,"Queen","Bohemian Rhapsody"
51,"Pink Floyd","Another Brick In The Wall (Part 2)"
52,"Coyote Theory","This Side Of Paradise"
53,"The Rolling Stones","Moonlight Mile"
54,"Pet Shop Boys","Opportunities (Let's Make Lots Of Money)"
55,"U2","With Or Without You"
56,"Everybody Loves An Outlaw","I See Red"
57,"Whitesnake","Here I Go Again"
58,"Roxette","Listen To Your Heart"
59,"Bryan Adams","I Do It For You (Everything I Do)"
60,"Queen & David Bowie","Under Pressure"
61,"Disturbed","The Sound Of Silence"
62,"Baltimora","Tarzan Boy"
63,"Scorpions","Still Loving You"
64,"Belinda Carlisle","Heaven Is A Place On Earth"
65,"Linkin Park","In The End"
66,"Wham!","Wake Me Up Before You Go-Go"
67,"Crowded House","Don't Dream It's Over"
68,"Dexys Midnight Runners","Come On Eileen"
69,"Kim Carnes","Bette Davis Eyes"
70,"Fool's Garden","Lemon Tree"
71,"Spandau Ballet","True"
72,"Extreme","More Than Words"
73,"Chicago","Hard To Say I'm Sorry/Get Away"
74,"Pink Floyd","Wish You Were Here"
75,"Foo Fighters","Waiting On A War"
76,"Toto","Hold The Line"
77,"James Blunt","You're Beautiful"
78,"The Offspring","Let The Bad Times Roll"
79,"Ice Cube","It Was A Good Day (Remix)"
80,"Sinéad O'Connor","Nothing Compares 2 U"
81,"Joan Jett & The Blackhearts","I Love Rock N' Roll"
82,"Berlin","Take My Breath Away"
83,"Aphrodite's Child","The Four Horsemen"
84,"Citizen Cope","Let The Drummer Kick"
85,"Queen","I Want To Break Free"
86,"Nick Cave & The Bad Seeds","Red Right Hand"
87,"Queen","Don't Stop Me Now"
88,"Dire Straits","Walk Of Life"
89,"Stevie Nicks","Edge Of Seventeen"
90,"Bonnie Tyler","Holding Out For A Hero"
91,"The Hollies","Long Cool Woman (In A Black Dress)"
92,"Ice Cube","You Know How We Do It"
93,"Sting","Shape Of My Heart"
94,"Oasis","Don't Look Back In Anger"
95,"The Who","Baba O'riley"
96,"AC/DC","Highway to Hell"
97,"Bobby McFerrin","Don't Worry Be Happy"
98,"The Human League","Don't You Want Me"
99,"Spin Doctors","Two Princes"
100,"Mazzy Star","Fade Into You"
